timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
7768.191,0.4834,7.9825,6.0443,0.7,-1.54,0.91,0.8088,-9.7292,-1.1055,-8.19,-2.38,-1.26,0.0144,-0.1484,8.497,-1.4046,-0.4504,-0.5725,-0.3783,-7.3167,-6.7325,-3.3817,0.8855,0.3588
7858.947,0.4738,7.882,5.9821,-0.56,-0.98,1.05,0.8566,-9.6335,-0.8279,7.49,-0.91,-1.05,0.0455,-0.0982,8.5234,-1.3893,-0.4275,-0.6641,-0.3472,-7.3023,-6.7086,-3.0916,1.0763,0.3588
8008.344,0.5025,7.9968,6.0586,1.19,-1.47,1.05,0.8375,-9.7292,-1.5266,-3.99,-2.24,-1.05,0.0096,-0.1867,8.5784,-1.3893,-0.6336,-0.6794,-0.2777,-7.3287,-6.7181,-3.2977,1.1069,0.4962
8068.087,0.4881,7.925,6.0203,0.21,-1.12,1.19,0.8279,-9.6431,-0.6078,3.08,-1.4,-1.05,0.0287,-0.1604,8.5593,-1.2595,-0.4885,-0.4733,-0.3232,-7.3071,-6.8331,-3.374,0.9771,0.4427
8158.782,0.4977,7.9442,6.0443,0.91,-1.33,0.91,0.8566,-9.7819,-1.541,0.84,-1.68,-1.12,0.0239,-0.1173,8.4922,-1.4427,-0.542,-0.4809,-0.3208,-7.3287,-6.6439,-3.145,1.2443,0.4351
8248.159,0.4881,7.9155,6.0347,0.28,-1.26,1.19,0.8183,-9.6622,-0.5934,-1.96,-2.03,-1.12,0.0934,-0.17,8.442,-1.2214,-0.5954,-0.5191,-0.2825,-7.343,-6.6822,-3.084,1.0534,0.3206
8368.701,0.4929,7.9729,6.0538,1.19,-1.47,0.91,0.8806,-9.7196,-1.5936,0.14,-1.12,-1.05,-0.0527,-0.1101,8.521,-1.4504,-0.7481,-0.4962,-0.3232,-7.331,-6.6798,-3.2137,1.0763,0.3893
8428.198,0.4881,7.9155,6.0156,0.14,-1.12,1.12,0.7848,-9.6766,-0.5791,-1.19,-1.96,-1.19,0.0335,-0.1867,8.5186,-1.3511,-0.3588,-0.6489,-0.3112,-7.2903,-6.7971,-3.2977,1.1374,0.4122
8520.1,0.4881,7.9585,6.0443,0.63,-1.26,0.98,0.8471,-9.7388,-1.4692,3.92,-1.4,-0.98,-0.0311,-0.1317,8.5066,-1.3282,-0.7252,-0.5496,-0.4142,-7.2999,-6.6726,-3.145,1.1832,0.3053
8639.492,0.5073,7.9155,6.0299,0.42,-1.19,1.19,0.804,-9.6766,-0.8901,-2.03,-2.03,-1.19,-0.0144,-0.1772,8.576,-1.5878,-0.8168,-0.4351,-0.3783,-7.2903,-6.675,-3.3053,1.0916,0.4122
8727.954,0.4881,7.925,6.0203,0.28,-1.26,1.12,0.8423,-9.7005,-1.2538,3.08,-1.33,-1.05,-0.0024,-0.1748,8.6048,-1.2366,-0.5115,-0.6031,-0.2993,-7.276,-6.6655,-3.3206,1.1756,0.3206
8822.026,0.4834,7.9681,6.0347,1.05,-1.47,0.91,0.8327,-9.6909,-0.8758,-3.71,-2.17,-1.26,0.0383,-0.1628,8.5449,-1.458,-0.5878,-0.5725,-0.2921,-7.3358,-6.6439,-3.2977,1.0382,0.4275
8910.947,0.4834,7.9202,6.006,0.14,-1.19,1.12,0.8136,-9.6191,-1.2203,8.54,-0.91,-0.91,0.0311,-0.0886,8.442,-1.4504,-0.2977,-0.6718,-0.3232,-7.3167,-6.7133,-3.2137,0.9618,0.2672
8999.764,0.4786,7.9633,6.0634,0.98,-1.33,1.05,0.8231,-9.7484,-1.2538,-8.19,-2.73,-1.26,-0.0263,-0.1484,8.576,-1.4885,-0.5573,-0.7328,-0.3232,-7.3717,-6.6726,-3.313,1.2214,0.4275
9091.021,0.4881,7.9346,6.0156,0.21,-1.26,1.05,0.8183,-9.6766,-0.8327,6.86,-0.98,-1.05,0.0718,-0.1844,8.5353,-1.2443,-0.4504,-0.3206,-0.3998,-7.3909,-6.6846,-3.0305,1.1069,0.4962
9182.338,0.4881,7.9633,6.0299,0.98,-1.4,1.12,0.8423,-9.734,-1.3831,-3.01,-2.1,-1.19,0.0096,-0.1796,8.6119,-1.3435,-0.4962,-0.6489,-0.3711,-7.2808,-6.8283,-3.5344,1.1069,0.4656
9273.421,0.4929,7.8963,6.006,0.0,-0.98,1.26,0.8375,-9.6574,-0.8901,2.31,-1.54,-1.05,0.0,-0.0862,8.6,-1.3435,-0.6336,-0.5725,-0.3663,-7.3071,-6.7301,-3.2748,1.2214,0.4351
9388.574,0.4786,7.9729,6.0586,1.26,-1.61,0.77,0.8566,-9.734,-1.4453,16.03,-1.61,-0.98,0.0311,-0.1125,8.5329,-1.4504,-0.5802,-0.5115,-0.3591,-7.3358,-6.7181,-3.1908,1.2824,0.5038
