timestamp,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
10108.665,7.616,-0.2586,5.6599,-1.1985,-0.4046,-0.6107,10.331,-0.3926,0.2011,-3.4656,1.1679,0.3206
10197.193,7.5633,-0.328,5.5689,-1.4656,-0.6641,-0.5267,10.3022,-0.3591,0.1891,-3.4656,1.1603,0.2519
10288.509,7.6519,-0.2394,5.4971,-1.3893,-0.4122,-0.5038,10.2999,-0.3903,0.1437,-3.3359,1.1603,0.5573
10378.708,7.6279,-0.2753,5.5258,-1.3588,-0.7863,-0.4275,10.3573,-0.3448,0.17,-3.4962,1.1603,0.3969
10467.345,7.6686,-0.3424,5.5258,-1.5115,-0.771,-0.5496,10.3693,-0.2945,0.1269,-3.1908,1.0687,0.4733
10557.746,7.6614,-0.2753,5.545,-1.5115,-0.4962,-0.5573,10.3789,-0.3112,0.158,-3.5115,1.4275,0.6183
10647.084,7.6543,-0.3089,5.5617,-1.229,-0.6947,-0.5802,10.331,-0.3065,0.1556,-3.2366,1.3359,0.5191
10767.413,7.5753,-0.2131,5.5162,-1.3664,-0.5267,-0.5191,10.319,-0.3567,0.1915,-3.3817,1.0458,0.3893
10830.926,7.6567,-0.316,5.5354,-1.313,-0.6107,-0.6031,10.2903,-0.3472,0.1748,-3.2901,0.8855,0.5267
10916.831,7.5753,-0.2394,5.5857,-1.4122,-0.5267,-0.4275,10.3166,-0.2993,0.1724,-3.2748,0.8244,0.4962
11008.034,7.58,-0.2969,5.5067,-1.4504,-0.6489,-0.542,10.343,-0.3208,0.182,-3.3435,1.1374,0.4504
11097.38,7.6231,-0.2562,5.4755,-1.5115,-0.6718,-0.5038,10.3717,-0.3232,0.2298,-3.2901,1.3588,0.5573
11187.847,7.6495,-0.2634,5.4564,-1.3359,-0.7405,-0.5038,10.2927,-0.2993,0.1197,-3.3282,1.8779,0.542
11308.062,7.6662,-0.2873,5.5857,-1.2366,-0.8168,-0.4962,10.3286,-0.3184,0.2131,-3.2061,1.0229,0.4809
11400.526,7.6423,-0.3304,5.5522,-1.458,-0.4885,-0.5038,10.3358,-0.3687,0.2298,-3.374,1.2137,0.313
11486.824,7.6351,-0.2777,5.4851,-1.3053,-0.626,-0.3817,10.343,-0.316,0.1891,-3.4427,1.0458,0.4809
11576.837,7.5872,-0.2873,5.5019,-1.5191,-0.5344,-0.5878,10.2448,-0.3376,0.2083,-3.2214,-1.6565,0.1527
11667.232,7.6351,-0.3352,5.4827,-1.229,-0.458,-0.458,10.0293,-0.158,0.3807,-2.8931,0.4733,0.6336
11758.421,7.6351,-0.328,5.4731,-1.4504,-0.4427,-0.5954,10.3477,-0.3543,0.1197,-3.3511,1.542,0.3817
11877.41,7.604,-0.2753,5.533,-1.4275,-0.542,-0.4198,10.319,-0.2921,0.3089,-3.3206,1.0305,0.3282
11939.103,7.5872,-0.2825,5.5641,-1.5802,-0.6565,-0.5191,10.3022,-0.3041,0.2011,-3.4046,1.1603,0.4198
12028.321,7.6136,-0.3208,5.5929,-1.5115,-0.5802,-0.5954,10.3501,-0.3328,0.2059,-3.1603,1.1145,0.4046
12118.622,7.6136,-0.3639,5.5689,-1.4504,-0.6183,-0.5802,10.3549,-0.3017,0.2514,-3.3435,1.3435,0.3893
12209.083,7.6351,-0.2921,5.5665,-1.2824,-0.7405,-0.5115,10.3382,-0.3232,0.1724,-3.1527,1.2061,0.4275
12299.778,7.5824,-0.2753,5.5138,-1.4656,-0.5496,-0.6412,10.3501,-0.3735,0.1867,-2.9695,1.8855,0.0534
12387.346,7.5753,-0.2873,5.533,-1.4046,-0.4809,-0.6718,10.2999,-0.3543,0.2825,-3.3282,0.9847,0.3053
12479.034,7.5681,-0.2586,5.5785,-1.4122,-0.4885,-0.7786,10.3334,-0.3496,0.2466,-3.2748,1.1603,0.3282
12568.092,7.616,-0.2969,5.5737,-1.2824,-0.5649,-0.4275,10.2304,-0.3376,0.1173,-3.313,1.3511,0.5649
12688.25,7.6112,-0.2801,5.466,-1.3969,-0.771,-0.6031,10.3597,-0.3735,0.0766,-3.2901,1.2214,0.374
12778.075,7.6974,-0.3304,5.5186,-1.3206,-0.4962,-0.4733,10.2879,-0.3112,0.2873,-3.2748,1.2214,0.4809
12868.218,7.6327,-0.3041,5.5402,-1.374,-0.626,-0.4351,10.2448,-0.3759,0.17,-3.1527,1.1374,0.3817
12988.693,7.5441,-0.34,5.5545,-1.4046,-0.6336,-0.4427,10.2687,-0.3591,0.1963,-3.1679,1.1679,0.3664
13048.498,7.5633,-0.3615,5.5234,-1.4351,-0.5115,-0.4122,10.3166,-0.2969,0.2346,-3.1756,1.1832,0.3359
13138.779,7.6016,-0.2322,5.5929,-1.3588,-0.5191,-0.6107,10.2999,-0.34,0.2514,-3.1298,0.9924,0.2901
13226.362,7.6543,-0.2801,5.5617,-1.4198,-0.5573,-0.5496,10.3358,-0.3424,0.1532,-3.2901,0.9618,0.2977
13319.013,7.6567,-0.3041,5.5857,-1.4198,-0.4198,-0.5573,10.2879,-0.3304,0.2059,-3.2672,1.1679,0.4351
13409.073,7.5992,-0.2897,5.545,-1.4809,-0.5496,-0.687,10.2951,-0.3711,0.1652,-3.2748,1.1069,0.5649
13497.802,7.616,-0.237,5.5091,-1.4885,-0.458,-0.7023,10.2735,-0.3591,0.2562,-3.2824,1.1527,0.5038
13589.442,7.6327,-0.2586,5.5138,-1.4504,-0.5191,-0.4656,10.2304,-0.3448,0.2801,-3.2443,1.0916,0.4275
13678.544,7.6567,-0.3926,5.5498,-1.2901,-0.5344,-0.5649,10.3262,-0.3304,0.2945,-3.2824,1.1145,0.4656
13768.607,7.6016,-0.2634,5.5043,-1.374,-0.374,-0.542,10.3118,-0.3232,0.1077,-3.2748,1.3282,0.3664
13858.397,7.6231,-0.3256,5.4468,-1.4427,-0.5038,-0.2901,10.2735,-0.2945,0.1149,-3.2366,1.2977,0.4962
13978.544,7.6614,-0.2897,5.4875,-1.374,-0.5725,-0.7252,10.2903,-0.3783,0.2322,-3.3511,1.1679,0.4046
14096.672,7.6638,-0.2562,5.5809,-1.4656,-0.542,-0.1679,10.3549,-0.3519,0.2777,-3.2595,0.9695,0.6107
14156.485,7.6758,-0.3496,5.6168,-1.3511,-0.5878,-0.7328,10.2903,-0.3304,0.2107,-3.3588,1.1069,0.2977
14245.573,7.6351,-0.2227,5.5929,-1.2901,-0.4809,-0.458,10.2783,-0.4214,0.2107,-3.2061,0.9771,0.6565
14336.813,7.6734,-0.3831,5.521,-1.3511,-0.6565,-0.4656,10.3477,-0.3759,0.2155,-3.3053,1.2137,0.4046
14428.121,7.6447,-0.2801,5.6288,-1.5191,-0.4427,-0.4198,10.3262,-0.3448,0.2274,-3.458,1.3053,0.2748
14516.498,7.5609,-0.3687,5.545,-1.3435,-0.8321,-0.5038,10.3166,-0.3543,0.1221,-3.3053,1.084,0.4275
14608.772,7.6303,-0.2586,5.5761,-1.0992,-0.5802,-0.4962,10.3286,-0.3519,0.1413,-3.2519,1.2137,0.5496
14696.92,7.6447,-0.3807,5.5976,-1.4046,-0.855,-0.7099,10.2951,-0.3519,0.1149,-3.3359,1.2366,0.4427
14786.842,7.6231,-0.2753,5.5306,-1.3817,-0.5573,-0.6412,10.3262,-0.3256,0.2298,-3.2366,1.0916,0.4046
14876.716,7.592,-0.3208,5.4803,-1.5267,-0.5802,-0.5496,10.3238,-0.3304,0.1365,-3.2595,1.2748,0.3435
14966.521,7.5896,-0.328,5.5689,-1.2443,-0.5191,-0.458,10.3358,-0.2969,0.2394,-3.2901,0.8626,0.2977
15056.803,7.6662,-0.2562,5.4779,-1.3969,-0.4351,-0.4962,10.3142,-0.3519,0.1867,-3.3282,1.2672,0.4504
15147.085,7.6543,-0.2969,5.6479,-1.2977,-0.5038,-0.5573,10.3142,-0.3424,0.1987,-3.3664,1.0992,0.4198
15270.262,7.6327,-0.2705,5.4229,-1.374,-0.5573,-0.4809,10.307,-0.2993,0.1053,-3.0687,1.2748,0.3282
15356.697,7.6567,-0.3136,5.5282,-1.4198,-0.6641,-0.6565,10.319,-0.3663,0.261,-3.1756,1.0382,0.374
15447.996,7.6184,-0.2634,5.6168,-1.3817,-0.5573,-0.3893,10.3262,-0.3663,0.2227,-3.2443,1.1832,0.5115
15538.891,7.6567,-0.2945,5.5641,-1.4427,-0.5496,-0.6336,10.3837,-0.3591,0.3017,-3.3053,1.0534,0.3893
15628.02,7.6902,-0.3089,5.612,-1.3969,-0.4427,-0.3282,10.2783,-0.2921,0.1939,-3.4198,1.4733,0.4504
15717.729,7.6614,-0.3304,5.6264,-1.4198,-0.6718,-0.5802,10.2855,-0.3615,0.158,-3.3282,1.1832,0.5573
15806.174,7.6662,-0.2658,5.5234,-1.4351,-0.3588,-0.6183,10.2592,-0.3208,0.2298,-3.4733,1.1985,0.5496
15897.594,7.5944,-0.3136,5.533,-1.2595,-0.7634,-0.5954,10.2759,-0.328,0.1891,-3.4275,1.2443,0.4427
15987.774,7.6231,-0.2705,5.5234,-1.4733,-0.4809,-0.5115,10.386,-0.328,0.1341,-3.2901,1.145,0.2214
16076.017,7.6016,-0.395,5.5498,-1.3664,-0.4351,-0.6565,10.3238,-0.3543,0.2083,-3.1908,1.1832,0.5038
16168.335,7.616,-0.328,5.5929,-1.5344,-0.5802,-0.5267,10.3717,-0.3352,0.2179,-3.2519,1.0763,0.4427
16259.07,7.6064,-0.3136,5.5522,-1.3282,-0.7099,-0.626,10.3142,-0.3424,0.2035,-3.2595,1.1374,0.2748
16348.252,7.5848,-0.2825,5.5976,-1.5038,-0.4427,-0.5191,10.3118,-0.3519,0.1077,-3.2824,1.0687,0.4809
16437.875,7.6016,-0.3448,5.4995,-1.3893,-0.6183,-0.5802,10.3214,-0.3735,0.2011,-3.313,1.1908,0.4809
16557.602,7.616,-0.3041,5.5498,-1.4198,-0.4351,-0.2672,10.3884,-0.3136,0.0862,-3.229,1.4198,0.4809
16648.142,7.592,-0.3424,5.3965,-1.458,-0.7176,-0.7786,10.3214,-0.3831,0.1772,-3.2061,1.1374,0.3053
16736.258,7.6184,-0.2825,5.545,-1.3664,-0.4275,-0.6107,10.3645,-0.3903,0.2634,-3.2595,0.8321,0.3282
16827.576,7.592,-0.34,5.5737,-1.2901,-0.458,-0.5115,10.3262,-0.3376,0.1939,-3.1298,1.313,0.4733
16917.019,7.6351,-0.2227,5.5569,-1.4046,-0.3969,-0.4046,10.2687,-0.3783,0.2011,-3.3206,1.0916,0.4046
17005.018,7.5561,-0.3352,5.4708,-1.5115,-0.5115,-0.6641,10.3549,-0.3112,0.2155,-3.3817,1.2443,0.5573
17095.788,7.5872,-0.2251,5.6192,-1.3893,-0.7328,-0.626,10.2879,-0.3615,0.328,-3.1603,1.0611,0.4656
17185.505,7.5992,-0.3424,5.5138,-1.2672,-0.6183,-0.3893,10.2592,-0.3807,0.2682,-3.2672,1.3053,0.374
17276.059,7.6016,-0.2131,5.5857,-1.1908,-0.3817,-0.4427,10.2999,-0.3352,0.1963,-3.3282,1.2137,0.4198
17366.804,7.6231,-0.3926,5.6048,-1.4427,-0.5725,-0.4351,10.3645,-0.3448,0.1867,-3.2672,1.374,0.3664
17456.676,7.5968,-0.2634,5.5881,-1.458,-0.6489,-0.4351,10.2496,-0.3472,0.2227,-3.2824,1.2366,0.4656
17546.071,7.5824,-0.2945,5.533,-1.4198,-0.7786,-0.4733,10.2711,-0.3807,0.1125,-3.1527,1.2824,0.5496
