timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
5336.021,0.5073,9.4086,3.2399,0.56,-1.26,0.98,0.7609,-9.5282,-2.0578,0.77,-1.75,-0.98,0.0215,-0.1389,8.6072,-1.3359,-0.6183,-0.5191,-9.232,-0.1101,-0.4214,-3.3435,1.0992,0.4275
5396.012,0.4929,9.4277,3.2447,0.42,-1.33,0.91,0.7848,-9.5474,-1.9908,0.7,-1.82,-0.98,0.0622,-0.1101,8.5497,-1.3969,-0.4656,-0.4656,-9.3374,-0.1173,-0.3831,-3.1069,1.0687,0.2595
5486.035,0.4786,9.4469,3.2207,0.07,-1.12,1.05,0.7657,-9.5282,-1.9813,1.54,-1.89,-0.98,-0.0096,-0.1963,8.6742,-1.3588,-0.6641,-0.6412,-9.2344,-0.0359,-0.4525,-3.3282,1.2061,0.2977
5578.58,0.5025,9.4516,3.2399,0.77,-1.4,0.98,0.7609,-9.5378,-2.0195,1.4,-1.82,-1.05,0.0622,-0.1365,8.5018,-1.3588,-0.5878,-0.6489,-9.2536,-0.1125,-0.5004,-3.458,1.2061,0.5573
5638.019,0.5025,9.4181,3.2351,0.56,-1.4,0.84,0.7801,-9.5426,-1.986,0.49,-1.89,-1.05,-0.0168,-0.2155,8.5545,-1.3664,-0.3969,-0.7405,-9.1937,-0.0694,-0.4166,-3.2595,1.1298,0.5344
5727.435,0.4499,9.4038,3.2207,0.77,-1.33,0.98,0.7609,-9.5521,-1.9286,0.42,-1.82,-1.12,-0.0215,-0.1772,8.5114,-1.3817,-0.5954,-0.6336,-9.2416,-0.1221,-0.4118,-3.3206,1.0,0.4427
5788.291,0.5216,9.4373,3.2207,0.21,-1.33,0.84,0.7848,-9.5186,-1.9956,0.98,-1.75,-1.05,0.0215,-0.079,8.5904,-1.2595,-0.6489,-0.3893,-9.2105,-0.1077,-0.4286,-3.374,1.1985,0.2519
5876.862,0.5025,9.4325,3.2303,0.63,-1.33,1.05,0.7609,-9.5234,-2.0195,0.84,-1.75,-0.98,0.0575,-0.0742,8.5712,-1.3893,-0.5802,-0.4046,-9.2608,-0.1628,-0.5267,-3.0687,1.1221,0.4198
5966.109,0.5073,9.4277,3.2303,0.77,-1.4,1.19,0.7609,-9.5426,-1.986,0.21,-1.82,-1.05,-0.0168,-0.146,8.5234,-1.626,-0.6107,-0.5725,-9.3063,-0.1389,-0.5315,-3.1298,1.0763,0.1985
6026.002,0.5408,9.4229,3.2542,1.33,-1.47,1.12,0.7848,-9.5234,-1.9813,1.68,-1.54,-1.05,0.0263,-0.1101,8.6167,-1.3359,-0.5573,-0.6336,-9.2488,-0.17,-0.4046,-3.5115,1.2214,0.5344
