timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
5192.88,-0.2584,9.4325,-3.1442,0.28,-1.33,0.98,0.1771,7.8628,-5.7428,1.05,-1.54,-1.12,-0.0503,-0.1197,8.5784,-1.5878,-0.6489,-0.5496
5278.159,-0.2584,9.4229,-3.149,0.7,-1.26,1.05,0.1866,7.8676,-5.7332,1.12,-1.61,-1.12,-0.1317,-0.0766,8.4803,-1.2061,-0.5878,-0.6489
5338.138,-0.268,9.4086,-3.1346,0.14,-1.26,1.12,0.2106,7.882,-5.738,1.12,-1.68,-1.12,-0.0766,-0.0934,8.5449,-1.3435,-0.5573,-0.6947
5428.89,-0.2728,9.4325,-3.1346,0.77,-1.33,1.05,0.2154,7.8772,-5.738,1.05,-1.68,-1.12,-0.0479,-0.0934,8.4779,-1.4198,-0.4809,-0.6336
5488.776,-0.2584,9.4229,-3.1155,0.42,-1.19,1.19,0.1866,7.8772,-5.7284,1.05,-1.68,-1.19,-0.0575,-0.1413,8.6,-1.3664,-0.6183,-0.6107
5578.29,-0.2297,9.4325,-3.1442,-0.35,-1.12,1.12,0.1675,7.8676,-5.738,1.05,-1.75,-1.19,-0.0814,-0.1077,8.4707,-1.4046,-0.5649,-0.4504
5668.498,-0.2536,9.4277,-3.1537,0.07,-1.33,1.12,0.1866,7.8867,-5.738,0.98,-1.68,-1.12,-0.0431,-0.1365,8.5976,-1.4809,-0.5038,-0.5878
5729.761,-0.2489,9.4469,-3.149,0.35,-1.26,1.05,0.1531,7.8676,-5.7332,1.12,-1.61,-1.19,-0.067,-0.158,8.5042,-1.4885,-0.6031,-0.4351
5820.249,-0.2536,9.4134,-3.1585,0.77,-1.33,1.12,0.1771,7.882,-5.738,1.05,-1.61,-1.12,-0.067,-0.1389,8.4707,-1.3893,-0.6794,-0.3664
5913.091,-0.2393,9.4181,-3.1155,1.05,-1.19,1.19,0.1723,7.8772,-5.7236,0.98,-1.68,-1.26,-0.0742,-0.1149,8.5329,-1.5115,-0.6718,-0.7099
5970.325,-0.2345,9.4373,-3.1633,0.21,-1.19,1.05,0.1914,7.8724,-5.7236,0.98,-1.68,-1.12,-0.0335,-0.1269,8.6,-1.1908,-0.4885,-0.5038
6062.295,-0.2536,9.4373,-3.149,0.35,-1.26,1.12,0.1866,7.8772,-5.7476,1.05,-1.68,-1.05,-0.0287,-0.1508,8.5736,-1.2443,-0.4122,-0.5649
6150.151,-0.2632,9.4325,-3.1202,0.63,-1.19,0.98,0.2106,7.8724,-5.738,1.12,-1.75,-1.19,0.0192,-0.1389,8.5281,-1.3435,-0.6336,-0.542
6209.98,-0.2728,9.4229,-3.1346,0.49,-1.19,1.05,0.1771,7.882,-5.738,1.05,-1.68,-1.05,-0.0287,-0.0742,8.4827,-1.2901,-0.4198,-0.5267
6299.76,-0.2728,9.4277,-3.1298,0.91,-1.33,1.19,0.1675,7.8676,-5.7045,0.98,-1.68,-1.12,-0.0646,-0.1053,8.5545,-1.4427,-0.5191,-0.3817
6360.536,-0.2345,9.4373,-3.1155,0.7,-1.26,0.91,0.2058,7.8772,-5.7428,1.05,-1.68,-1.12,-0.0311,-0.1173,8.5617,-1.4656,-0.6718,-0.5191
6452.441,-0.2536,9.4421,-3.1107,0.42,-1.26,0.98,0.1723,7.8724,-5.7188,0.98,-1.75,-1.05,-0.0479,-0.0862,8.5138,-1.313,-0.4275,-0.5115
6539.628,-0.2441,9.4277,-3.1442,0.56,-1.19,1.12,0.201,7.882,-5.738,0.98,-1.82,-1.12,-0.0694,-0.067,8.4922,-1.374,-0.4809,-0.6412
6600.221,-0.2967,9.4421,-3.1537,0.84,-1.19,1.12,0.1819,7.882,-5.7332,1.12,-1.68,-1.05,-0.0407,-0.0766,8.43,-1.1298,-0.5267,-0.7099
6688.321,-0.2776,9.4325,-3.1394,0.7,-1.26,1.12,0.1962,7.8676,-5.7332,0.98,-1.75,-1.12,-0.1365,-0.1413,8.5712,-1.4809,-0.6336,-0.6947
